CustomerID, CustomerName, CustomerPhNo, CustomerAddress, Password
Cust1,Claire Gute,9167035808,"Henderson,Kentucky,United States",NZ76S29
Cust2,Darrin Van Huff,7495777225,"Los Angeles,California,United States",ND90W12
Cust3,Sean O'Donnell,3795373234,"Fort Lauderdale,Florida,United States",NX38M64
Cust4,Brosina Hoffman,6294416804,"Los Angeles,California,United States",NV88D78
Cust5,Andrew Allen,3679518407,"Concord,North Carolina,United States",AE99W75
Cust6,Irene Maddox,7463638317,"Seattle,Washington,United States",OT72B27
Cust7,Harold Pawlan,3942743838,"Fort Worth,Texas,United States",PQ73Z44
Cust8,Pete Kriz,1346215110,"Madison,Wisconsin,United States",VG74A57
Cust9,Alejandro Grove,2701000759,"West Jordan,Utah,United States",PD48M70
Cust10,Zuschuss Donatelli,7778282522,"San Francisco,California,United States",BV49D76
Cust11,Ken Black,6236589753,"Fremont,Nebraska,United States",XY28B65
Cust12,Sandra Flanagan,2809077513,"Philadelphia,Pennsylvania,United States",PB49T27
Cust13,Emily Burns,3321567063,"Orem,Utah,United States",IT19W93
Cust14,Eric Hoffmann,1539245596,"Los Angeles,California,United States",AI34B49
Cust15,Tracy Blumstein,6567072362,"Philadelphia,Pennsylvania,United States",OC63J62
Cust16,Matt Abelman,1746360832,"Houston,Texas,United States",OP17L45
Cust17,Gene Hale,1513059551,"Richardson,Texas,United States",PE19N72
Cust18,Steve Nguyen,8172581192,"Houston,Texas,United States",XG64O80
Cust19,Linda Cazamias,5657972697,"Naperville,Illinois,United States",RK72K58
Cust20,Ruben Ausman,3036890144,"Los Angeles,California,United States",RX38X12
Cust21,Erin Smith,6313200621,"Melbourne,Florida,United States",MS22N72
Cust22,Odella Nelson,3417032732,"Eagan,Minnesota,United States",GL97T44
Cust23,Patrick O'Donnell,3583315433,"Westland,Michigan,United States",SU57R82
Cust24,Lena Hernandez,7043338152,"Dover,Delaware,United States",OO51X56
Cust25,Darren Powers,9634610812,"New Albany,Indiana,United States",QH15X17
Cust26,Janet Molinari,9187461791,"New York City,New York,United States",TW27U22
Cust27,Ted Butterfield,2644790016,"Troy,New York,United States",LB19K24
Cust28,Kunst Miller,1852485256,"Los Angeles,California,United States",HI90G88
Cust29,Paul Stevenson,7008946131,"Chicago,Illinois,United States",DU42I34
Cust30,Brendan Sweed,5211925687,"Gilbert,Arizona,United States",WP32H25
Cust31,Karen Daniels,4512086803,"Springfield,Virginia,United States",PF24Y22
Cust32,Henry MacAllister,3643076579,"New York City,New York,United States",YG26S12
Cust33,Joel Eaton,4867138368,"Memphis,Tennessee,United States",MZ30L74
Cust34,Ken Brennan,2516158797,"Houston,Texas,United States",KY36O90
Cust35,Stewart Carmichael,2697510400,"Decatur,Alabama,United States",AU98Z77
Cust36,Duane Noonan,7718199988,"San Francisco,California,United States",PG13R78
Cust37,Julie Creighton,5153616377,"Durham,North Carolina,United States",ML54S89
Cust38,Christopher Schild,5222863756,"Chicago,Illinois,United States",OS48F89
Cust39,Paul Gonzalez,3344311586,"Rochester,Minnesota,United States",AI32Z22
Cust40,Gary Mitchum,6699078423,"Houston,Texas,United States",JJ15F30
Cust41,Jim Sink,4201657354,"Los Angeles,California,United States",JB75J45
Cust42,Karl Braun,9120594961,"Minneapolis,Minnesota,United States",NS28G51
Cust43,Roger Barcio,6379499367,"Portland,Oregon,United States",JD46W57
Cust44,Parhena Norris,9770354328,"New York City,New York,United States",AM66M44
Cust45,Katherine Ducich,8655015133,"San Francisco,California,United States",IN35B68
Cust46,Elpida Rittenbach,6130347207,"Saint Paul,Minnesota,United States",KP41Z27
Cust47,Rick Bensley,4630169411,"Chicago,Illinois,United States",CC32Q14
Cust48,Gary Zandusky,6094525653,"Rochester,Minnesota,United States",LO25W10
Cust49,Lena Cacioppo,7043405991,"Aurora,Colorado,United States",NA10Z70
Cust50,Janet Martin,6214620371,"Charlotte,North Carolina,United States",FS76S52
Cust51,Pete Armstrong,1412996086,"Orland Park,Illinois,United States",YH81G76
Cust52,Cynthia Voltz,8770613498,"New York City,New York,United States",ZZ84O48
Cust53,Clay Ludtke,7192923191,"Urbandale,Iowa,United States",KM55E98
Cust54,Ryan Crowe,2043082814,"Columbus,Ohio,United States",MR74M46
Cust55,Dave Kipp,5414787540,"Seattle,Washington,United States",UG34T10
Cust56,Greg Guthrie,5971541088,"Bristol,Tennessee,United States",TW17Z48
Cust57,Steven Cartwright,7642643376,"Wilmington,Delaware,United States",WZ32N55
Cust58,Alan Dominguez,9659289062,"Houston,Texas,United States",WS42Q93
Cust59,Philip Fox,5349656121,"Bloomington,Illinois,United States",TH36M22
Cust60,Troy Staebel,9084880955,"Phoenix,Arizona,United States",WN24H70
Cust61,Lindsay Shagiari,8506704812,"Los Angeles,California,United States",QC59V97
Cust62,Dorothy Wardle,1937440523,"Columbus,Ohio,United States",DO99W31
Cust63,Lena Creighton,4701169598,"Roseville,California,United States",VM41A13
Cust64,Jonathan Doherty,3165698784,"Philadelphia,Pennsylvania,United States",WE50W32
Cust65,Sally Hughsby,6668126961,"San Francisco,California,United States",HD10D57
Cust66,Sandra Glassco,7316175558,"Independence,Missouri,United States",PH24J28
Cust67,Helen Andreada,8897841837,"Pasadena,California,United States",XH15R59
Cust68,Maureen Gastineau,8192624802,"Newark,Ohio,United States",CS86X33
Cust69,Justin Ellison,5705582514,"Franklin,Wisconsin,United States",LR56V79
Cust70,Tamara Willingham,6904408020,"Scottsdale,Arizona,United States",SR46R43
Cust71,Stephanie Phelps,1620272495,"San Jose,California,United States",OW84S36
Cust72,Neil Knudson,1963492396,"Seattle,Washington,United States",QQ38M90
Cust73,Dave Brooks,9714735901,"Seattle,Washington,United States",OD89J20
Cust74,Nora Paige,2854770071,"Edmond,Oklahoma,United States",DR97X43
Cust75,Ted Trevino,7797089529,"Los Angeles,California,United States",EQ76W14
Cust76,Eric Murdock,1992869437,"Philadelphia,Pennsylvania,United States",NG85C17
Cust77,Ruben Dartt,6789733503,"Carlsbad,New Mexico,United States",TZ94P43
Cust78,Max Jones,6122783078,"Seattle,Washington,United States",JO53D94
Cust79,Becky Martin,7662508979,"San Antonio,Texas,United States",EA97B84
Cust80,Chad Sievert,8146515312,"Los Angeles,California,United States",LC40T83
Cust81,Jennifer Braxton,9768056447,"Chicago,Illinois,United States",VF29F73
Cust82,Shirley Jackson,4132125546,"Houston,Texas,United States",OL37X33
Cust83,Jim Kriz,9479561471,"New York City,New York,United States",VO29Y14
Cust84,David Kendrick,7386693556,"Decatur,Illinois,United States",BM14G80
Cust85,Robert Marley,2385143843,"Monroe,Louisiana,United States",KA50D86
Cust86,Sally Knutson,1962363581,"Fairfield,Connecticut,United States",ZG42M71
Cust87,Frank Merwin,6840428173,"Los Angeles,California,United States",CR62L86
Cust88,Alice McCarthy,3185841512,"Grand Prairie,Texas,United States",AU98K73
Cust89,Mark Packer,2182944368,"New York City,New York,United States",UX44F11
Cust90,Mary Zewe,8464817236,"Redlands,California,United States",ZA90M88
Cust91,Cassandra Brandow,5122213784,"Hamilton,Ohio,United States",SR89Q69
Cust92,Valerie Mitchum,6632217209,"Westfield,New Jersey,United States",GU74Q57
Cust93,Fred Hopkins,6478007233,"Philadelphia,Pennsylvania,United States",EI50H54
Cust94,Maria Bertelson,6555005720,"Akron,Ohio,United States",LF34S42
Cust95,Bruce Stewart,5151070658,"Denver,Colorado,United States",GS83B82
Cust96,Logan Currie,6945995959,"Dallas,Texas,United States",DI64T57
Cust97,Heather Kirkland,3729564849,"Franklin,Tennessee,United States",DV12W67
Cust98,Laurel Elliston,8249488798,"Whittier,California,United States",PS80L31
Cust99,Joseph Holt,7964179731,"Saginaw,Michigan,United States",XI57G36
Cust100,Michael Stewart,8945700952,"Dallas,Texas,United States",BF52Z44
Cust101,Victoria Wilson,1238569638,"Medina,Ohio,United States",MG21Y33
